Indexcd,Trddt,Clsindex,Retindex
300,2005/12/20,907.318,0.004882
300,2005/12/21,903.144,-0.0046
300,2005/12/22,908.754,0.006212
300,2005/12/23,915.89,0.007853
300,2005/12/26,922.378,0.007084
300,2005/12/27,919.36,-0.003272
300,2005/12/28,920.919,0.001696
300,2005/12/29,932.031,0.012066
300,2005/12/30,923.451,-0.009206
300,2006/1/4,941.428,0.019467
300,2006/1/5,959.134,0.018808
300,2006/1/6,970.032,0.011362
300,2006/1/9,975.253,0.005382
300,2006/1/10,978.154,0.002975
300,2006/1/11,973.477,-0.004781
300,2006/1/12,983.716,0.010518
300,2006/1/13,978.809,-0.004988
300,2006/1/16,961.439,-0.017746
300,2006/1/17,964.29,0.002965
300,2006/1/18,983.622,0.020048
300,2006/1/19,991.222,0.007727
300,2006/1/20,993.34,0.002137
300,2006/1/23,996.162,0.002841
300,2006/1/24,999.093,0.002942
300,2006/1/25,1009.597,0.010514
300,2006/2/6,1033.234,0.023412
300,2006/2/7,1029.937,-0.003191
300,2006/2/8,1033.072,0.003044
300,2006/2/9,1019.599,-0.013042
300,2006/2/10,1032.337,0.012493
300,2006/2/13,1031.614,-0.0007
300,2006/2/14,1038.531,0.006705
300,2006/2/15,1041.66,0.003013
300,2006/2/16,1020.121,-0.020678
300,2006/2/17,1020.368,0.000242
300,2006/2/20,1021.639,0.001246
300,2006/2/21,1038.816,0.016813
300,2006/2/22,1037.885,-0.000896
300,2006/2/23,1041.373,0.003361
300,2006/2/24,1049.444,0.00775
300,2006/2/27,1047.845,-0.001524
300,2006/2/28,1053.01,0.004929
300,2006/3/1,1056.619,0.003427
300,2006/3/2,1038.666,-0.016991
300,2006/3/3,1041.677,0.002899
300,2006/3/6,1038.873,-0.002692
300,2006/3/7,1014.973,-0.023006
300,2006/3/8,1009.271,-0.005618
300,2006/3/9,1004.344,-0.004882
300,2006/3/10,1008.897,0.004533
300,2006/3/13,1019.864,0.01087
300,2006/3/14,1018.272,-0.001561
300,2006/3/15,1028.958,0.010494
300,2006/3/16,1027.616,-0.001304
300,2006/3/17,1024.015,-0.003504
300,2006/3/20,1037.659,0.013324
300,2006/3/21,1040.757,0.002986
300,2006/3/22,1047.666,0.006638
300,2006/3/23,1048.537,0.000831
300,2006/3/24,1042.601,-0.005661
300,2006/3/27,1045.644,0.002919
300,2006/3/28,1055.982,0.009887
300,2006/3/29,1065.294,0.008818
300,2006/3/30,1055.634,-0.009068
300,2006/3/31,1061.088,0.005167
300,2006/4/3,1079.322,0.017184
300,2006/4/4,1089.371,0.00931
300,2006/4/5,1099.97,0.009729
300,2006/4/6,1103.237,0.00297
300,2006/4/7,1103.154,-0.000075
300,2006/4/10,1117.91,0.013376
300,2006/4/11,1123.308,0.004829
300,2006/4/12,1117.073,-0.005551
300,2006/4/13,1093.925,-0.020722
300,2006/4/14,1118.607,0.022563
300,2006/4/17,1124.414,0.005191
300,2006/4/18,1131.281,0.006107
300,2006/4/19,1138.241,0.006152
300,2006/4/20,1134.381,-0.003391
300,2006/4/21,1149.158,0.013026
300,2006/4/24,1142.698,-0.005622
300,2006/4/25,1141.93,-0.000672
300,2006/4/26,1155.726,0.012081
300,2006/4/27,1155.268,-0.000396
300,2006/4/28,1172.347,0.014784
300,2006/5/8,1218.445,0.039321
300,2006/5/9,1251.611,0.02722
300,2006/5/10,1265.933,0.011443
300,2006/5/11,1255.035,-0.008609
300,2006/5/12,1296.257,0.032845
300,2006/5/15,1352.155,0.043123
300,2006/5/16,1331.127,-0.015551
300,2006/5/17,1335.523,0.003302
300,2006/5/18,1331.201,-0.003236
300,2006/5/19,1366.097,0.026214
300,2006/5/22,1373.674,0.005546
300,2006/5/23,1317.654,-0.040781
300,2006/5/24,1308.242,-0.007143
300,2006/5/25,1307.697,-0.000417
300,2006/5/26,1331.02,0.017835
300,2006/5/29,1366.292,0.0265
300,2006/5/30,1378.756,0.009123
300,2006/5/31,1365.451,-0.00965
300,2006/6/1,1402.879,0.027411
300,2006/6/2,1390.116,-0.009098
300,2006/6/5,1403.163,0.009386
300,2006/6/6,1399.142,-0.002866
300,2006/6/7,1320.233,-0.056398
300,2006/6/8,1325.979,0.004352
300,2006/6/9,1294.185,-0.023978
300,2006/6/12,1297.67,0.002693
300,2006/6/13,1298.276,0.000467
300,2006/6/14,1283.88,-0.011089
300,2006/6/15,1285.385,0.001172
300,2006/6/16,1318.01,0.025382
300,2006/6/19,1334.893,0.012809
300,2006/6/20,1338.223,0.002495
300,2006/6/21,1333.532,-0.003505
300,2006/6/22,1331.553,-0.001484
300,2006/6/23,1339.446,0.005928
300,2006/6/26,1363.413,0.017893
300,2006/6/27,1363.896,0.000354
300,2006/6/28,1362.885,-0.000741
300,2006/6/29,1395.124,0.023655
300,2006/6/30,1393.963,-0.000832
300,2006/7/3,1420.328,0.018914
300,2006/7/4,1411.013,-0.006558
300,2006/7/5,1393.009,-0.01276
300,2006/7/6,1418.675,0.018425
300,2006/7/7,1410.429,-0.005812
300,2006/7/10,1412.124,0.001202
300,2006/7/11,1418.575,0.004568
300,2006/7/12,1419.199,0.00044
300,2006/7/13,1346.088,-0.051516
300,2006/7/14,1357.129,0.008202
300,2006/7/17,1372.254,0.011145
300,2006/7/18,1373.416,0.000847
300,2006/7/19,1336.644,-0.026774
300,2006/7/20,1345.194,0.006397
300,2006/7/21,1356.033,0.008058
300,2006/7/24,1358.122,0.001541
300,2006/7/25,1374.17,0.011816
300,2006/7/26,1371.295,-0.002092
300,2006/7/27,1355.545,-0.011485
300,2006/7/28,1341.393,-0.01044
300,2006/7/31,1294.328,-0.035087
300,2006/8/1,1282.057,-0.009481
300,2006/8/2,1275.088,-0.005436
300,2006/8/3,1271.744,-0.002623
300,2006/8/4,1241.908,-0.023461
300,2006/8/7,1224.102,-0.014338
300,2006/8/8,1252.386,0.023106
300,2006/8/9,1251.298,-0.000869
300,2006/8/10,1271.473,0.016123
300,2006/8/11,1275.654,0.003288
300,2006/8/14,1245.721,-0.023465
300,2006/8/15,1265.863,0.016169
300,2006/8/16,1283.567,0.013986
300,2006/8/17,1271.627,-0.009302
300,2006/8/18,1267.866,-0.002958
300,2006/8/21,1270.562,0.002126
